carrier,carrier_name,rate_version,source,area,area_label,age_band,age_min,age_max,product_code,product_name,annual_premium,source_value_raw,currency
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,70-74,70,74,premium,Morgan Price Premium,18301.84,18301.836333267056,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area1,Europe,70-74,70,74,elite,Morgan Price Elite,26372.71,26372.709848267783,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",Child,0,19,standard,Morgan Price Standard,894.62,894.6246185489695,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",Child,0,19,standard_plus,Morgan Price Standard Plus,1042.04,1042.0413043674919,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",Child,0,19,comprehensive,Morgan Price Comprehensive,1564.64,1564.6352489844928,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",Child,0,19,premium,Morgan Price Premium,2075.07,2075.066746397266,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",Child,0,19,elite,Morgan Price Elite,4103.23,4103.228183670457,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",20-24,20,24,standard,Morgan Price Standard,1067.0,1067.0020371686599,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",20-24,20,24,standard_plus,Morgan Price Standard Plus,1329.16,1329.1630975493101,EUR
morgan_price,Morgan Price (Europe) ApS,morgan_price_europe_2026_official,Rates.xlsx supplied by Morgan Price / user upload,area2,"Worldwide excluding USA, Singapore, Hong Kong & China",20-24,20,24,comprehensive,Morgan Price Comprehensive,2258.64,2258.644702857846,EUR
