carrier,carrier_name,rate_version,residence_country,area,age_min,age_max,product_code,product_name,annual_premium,currency,rate_note
april,APRIL International,april_2025_current,Greece,area2,50,54,intl_plus,APRIL International Plus,14156,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,50,54,intl_plus_nxs,APRIL International Plus NXS,15443,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,50,54,executive,APRIL Executive,23325,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,50,54,exec_nxs,APRIL Executive NXS,25448,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,50,54,exec_plus,APRIL Executive Plus,28929,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,50,54,exec_plus_nxs,APRIL Executive Plus NXS,30823,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,55,59,international,APRIL International,13269,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,55,59,intl_plus,APRIL International Plus,18682,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,55,59,intl_plus_nxs,APRIL International Plus NXS,20063,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,55,59,executive,APRIL Executive,28837,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,55,59,exec_nxs,APRIL Executive NXS,30973,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,55,59,exec_plus,APRIL Executive Plus,43533,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,55,59,exec_plus_nxs,APRIL Executive Plus NXS,45997,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,60,64,international,APRIL International,18009,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,60,64,intl_plus,APRIL International Plus,25258,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,60,64,intl_plus_nxs,APRIL International Plus NXS,26460,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,60,64,executive,APRIL Executive,36919,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,60,64,exec_nxs,APRIL Executive NXS,39010,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,60,64,exec_plus,APRIL Executive Plus,55494,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,60,64,exec_plus_nxs,APRIL Executive Plus NXS,58137,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,65,69,international,APRIL International,27027,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,65,69,intl_plus,APRIL International Plus,37951,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,65,69,intl_plus_nxs,APRIL International Plus NXS,39410,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,65,69,executive,APRIL Executive,54406,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,65,69,exec_nxs,APRIL Executive NXS,56498,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,65,69,exec_plus,APRIL Executive Plus,68218,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,65,69,exec_plus_nxs,APRIL Executive Plus NXS,70205,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,70,74,international,APRIL International,41276,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,70,74,intl_plus,APRIL International Plus,54618,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,70,74,intl_plus_nxs,APRIL International Plus NXS,56720,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,70,74,executive,APRIL Executive,76346,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,70,74,exec_nxs,APRIL Executive NXS,78569,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,70,74,exec_plus,APRIL Executive Plus,95495,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,70,74,exec_plus_nxs,APRIL Executive Plus NXS,97822,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,75,79,international,APRIL International,55627,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,75,79,intl_plus,APRIL International Plus,73609,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,75,79,intl_plus_nxs,APRIL International Plus NXS,76440,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,75,79,executive,APRIL Executive,91820,EUR,Temporary current dataset; replace when new APRIL rates arrive.
april,APRIL International,april_2025_current,Greece,area2,75,79,exec_nxs,APRIL Executive NXS,94497,EUR,Temporary current dataset; replace when new APRIL rates arrive.
